,CARGO_FORM,CALENDAR_YR,ORIGIN,QUANTITY,UNIT,COMMODITY_LIST,LOCATION
725,Air Cargo,2016,NLD,9890,Box/Carton,Chrysanthemum (pom-pon),CA San Francisco
726,Air Cargo,2016,NLD,3290,Box/Carton,Antirrhinum,CA San Francisco
727,Air Cargo,2016,NLD,4000,Box/Carton,Solidago,CA San Francisco
728,Air Cargo,2016,NLD,18750,Stems,Solidago,CA San Francisco
729,Air Cargo,2016,NLD,13800,Box/Carton,Helianthus,CA San Francisco
730,Air Cargo,2016,NLD,2296,Stems,Alstroemeria,CA San Francisco
731,Air Cargo,2016,NLD,6830,Box/Carton,Dianthus,CA San Francisco
732,Air Cargo,2016,NLD,9386,Box/Carton,Brassica,CA San Francisco
733,Air Cargo,2016,NLD,1042,Box/Carton,Rosa,CA San Francisco
734,Air Cargo,2016,NLD,7576,Box/Carton,Dianthus (mini),CA San Francisco
735,Air Cargo,2016,NLD,21124,Box/Carton,Gypsophila,CA San Francisco
736,Air Cargo,2016,NLD,5799,Box/Carton,Ornithogalum,CA San Francisco
737,Air Cargo,2016,NLD,611,Box/Carton,Zantedeschia,CA San Francisco
738,Air Cargo,2016,NLD,7960,Box/Carton,Alstroemeria,CA San Francisco
739,Air Cargo,2016,NLD,221,Box/Carton,Dianthus (mini),CA San Francisco
740,Air Cargo,2016,NLD,45,Box/Carton,"Bouquet, Mixed",CA San Francisco
741,Air Cargo,2016,NLD,25,Box/Carton,Antirrhinum,CA San Francisco
742,Air Cargo,2017,THA,27,Box/Carton,Ammi,CA San Francisco
743,Air Cargo,2017,THA,67,Box/Carton,Aster,CA San Francisco
744,Air Cargo,2017,THA,140,Box/Carton,"Bouquet, Rose",CA San Francisco
745,Air Cargo,2017,THA,210,Box/Carton,Eryngium,CA San Francisco
746,Air Cargo,2016,NLD,340,Box/Carton,"Bouquet, Mixed",CA San Francisco
747,Air Cargo,2016,NLD,40,Box/Carton,Chrysanthemum (pom-pon),CA San Francisco
748,Air Cargo,2016,NLD,551,Box/Carton,Craspedia,CA San Francisco
749,Air Cargo,2016,NLD,8,Box/Carton,Lisianthus,CA San Francisco
750,Air Cargo,2016,NLD,9,Box/Carton,Ornithogalum,CA San Francisco
751,Air Cargo,2016,NLD,48,Box/Carton,"Bouquet, Rose",CA San Francisco
752,Air Cargo,2016,NLD,9,Box/Carton,"Bouquet, Rose",CA San Francisco
753,Air Cargo,2016,NLD,16,Box/Carton,Senecio,CA San Francisco
754,Air Cargo,2016,NLD,11,Box/Carton,Cordyline,CA San Francisco
755,Air Cargo,2016,NLD,58,Box/Carton,Rumohra,CA San Francisco
756,Air Cargo,2016,NLD,8,Box/Carton,"Bouquet, Mixed",CA San Francisco
757,Air Cargo,2016,NLD,8,Box/Carton,Alpinia,CA San Francisco
758,Air Cargo,2016,NLD,18,Box/Carton,Chamelaucium,CA San Francisco
759,Air Cargo,2016,NLD,8,Box/Carton,"Bouquet, Mixed",CA San Francisco
760,Air Cargo,2016,NLD,43,Box/Carton,Strelitzia,CA San Francisco
761,Air Cargo,2016,NLD,21,Box/Carton,Helianthus,CA San Francisco
762,Air Cargo,2016,NLD,169,Box/Carton,Hyacinthus,CA San Francisco
763,Air Cargo,2016,NLD,2592,Box/Carton,Syringa,CA San Francisco
764,Air Cargo,2016,NLD,37,Box/Carton,"Bouquet, Mixed",CA San Francisco
765,Air Cargo,2016,NLD,201,Box/Carton,Alstroemeria,CA San Francisco
766,Air Cargo,2016,NLD,50,Stems,Eucalyptus,CA San Francisco
767,Air Cargo,2016,NZL,59,Box/Carton,Bupleurum,CA San Francisco
768,Air Cargo,2016,NZL,64,Box/Carton,Dianthus,CA San Francisco
769,Air Cargo,2016,NZL,17,Box/Carton,Craspedia,CA San Francisco
770,Air Cargo,2016,NZL,225,Stems,Eryngium,CA San Francisco
771,Air Cargo,2016,NZL,2000,Box/Carton,Brassica,CA San Francisco
772,Air Cargo,2016,NZL,150,Stems,Lysimachia,CA San Francisco
773,Air Cargo,2016,NZL,50,Stems,Ornithogalum,CA San Francisco
774,Air Cargo,2016,NZL,86,Box/Carton,Rosa,CA San Francisco
775,Air Cargo,2016,NZL,3640,Box/Carton,Dianthus,CA San Francisco
776,Air Cargo,2016,NZL,412,Box/Carton,Godetia,CA San Francisco
777,Air Cargo,2016,NZL,490,Box/Carton,Gypsophila,CA San Francisco
778,Air Cargo,2016,NZL,356,Box/Carton,Liatris,CA San Francisco
779,Air Cargo,2017,THA,17,Box/Carton,Antirrhinum,CA San Francisco
780,Air Cargo,2017,THA,13,Box/Carton,Hydrangea,CA San Francisco
781,Air Cargo,2017,THA,15,Box/Carton,"Bouquet, Rose",CA San Francisco
782,Air Cargo,2017,THA,8,Box/Carton,"Bouquet, Rose",CA San Francisco
783,Air Cargo,2017,THA,10,Stems,Dianthus,CA San Francisco
784,Air Cargo,2017,THA,32,Box/Carton,Helianthus,CA San Francisco
785,Air Cargo,2017,THA,25,Box/Carton,Chrysanthemum (pom-pon),CA San Francisco
786,Air Cargo,2017,THA,75,Box/Carton,Rosa,CA San Francisco
787,Air Cargo,2017,THA,30,Box/Carton,Aster,CA San Francisco
788,Air Cargo,2017,THA,140,Box/Carton,Delphinium,CA San Francisco
789,Air Cargo,2017,THA,340,Box/Carton,Hypericum,CA San Francisco
790,Air Cargo,2017,THA,120,Stems,Helichrysum,CA San Francisco
791,Air Cargo,2017,THA,10,Box/Carton,Lisianthus,CA San Francisco
792,Air Cargo,2017,THA,22,Box/Carton,Delphinium,CA San Francisco
793,Air Cargo,2017,THA,75,Stems,Leucospermum,CA San Francisco
794,Air Cargo,2017,THA,10100,Stems,Rosa,CA San Francisco
795,Air Cargo,2017,THA,499,Box/Carton,Delphinium,CA San Francisco
796,Air Cargo,2017,THA,8,Box/Carton,Lilium,CA San Francisco
797,Air Cargo,2017,THA,13,Box/Carton,Phalaenopsis,CA San Francisco
798,Air Cargo,2017,THA,8,Box/Carton,Anemone,CA San Francisco
799,Air Cargo,2017,THA,9,Box/Carton,Anthurium,CA San Francisco
800,Air Cargo,2017,THA,26,Box/Carton,Cymbidium,CA San Francisco
801,Air Cargo,2017,THA,17,Box/Carton,"Bouquet, Mixed",CA San Francisco
802,Air Cargo,2017,THA,122,Box/Carton,Jasminum,CA San Francisco
803,Air Cargo,2017,THA,14,Box/Carton,Ornithogalum,CA San Francisco
804,Air Cargo,2017,THA,36,Box/Carton,Rosa,CA San Francisco
805,Air Cargo,2017,THA,10400,Stems,Syringa,CA San Francisco
806,Air Cargo,2017,THA,29,Box/Carton,Lilium,CA San Francisco
807,Air Cargo,2017,THA,80,Box/Carton,Syringa,CA San Francisco
808,Air Cargo,2017,THA,9,Box/Carton,Oxypetalum,CA San Francisco
809,Air Cargo,2017,THA,150,Stems,Tulipa,CA San Francisco
810,Air Cargo,2017,THA,8,Box/Carton,Phalaenopsis,CA San Francisco
811,Air Cargo,2017,THA,65,Box/Carton,Paeonia,CA San Francisco
812,Air Cargo,2017,THA,46,Box/Carton,Matthiola,CA San Francisco
813,Air Cargo,2017,THA,62,Box/Carton,Veronica,CA San Francisco
814,Air Cargo,2017,THA,87,Box/Carton,Craspedia,CA San Francisco
815,Air Cargo,2017,THA,120,Box/Carton,Dianthus,CA San Francisco
816,Air Cargo,2017,THA,1560,Box/Carton,Alstroemeria,CA San Francisco
817,Air Cargo,2017,THA,11764,Box/Carton,Alstroemeria,CA San Francisco
818,Air Cargo,2017,THA,183,Box/Carton,Leucadendron,CA San Francisco
819,Air Cargo,2017,THA,223,Box/Carton,Leucospermum,CA San Francisco
820,Air Cargo,2017,THA,32,Box/Carton,Dianthus (mini),CA San Francisco
821,Air Cargo,2017,THA,147,Box/Carton,Polianthes,CA San Francisco
822,Air Cargo,2017,THA,94,Box/Carton,Chrysanthemum (pom-pon),CA San Francisco
823,Air Cargo,2017,THA,33,Box/Carton,Chrysanthemum,CA San Francisco
824,Air Cargo,2017,THA,74,Box/Carton,Eucalyptus,CA San Francisco
825,Air Cargo,2017,THA,74,Box/Carton,Ruscus,CA San Francisco
826,Air Cargo,2017,THA,83,Box/Carton,Lilium,CA San Francisco
827,Air Cargo,2017,THA,67,Box/Carton,Chrysanthemum,CA San Francisco
828,Air Cargo,2017,THA,54,Box/Carton,Hydrangea,CA San Francisco
829,Air Cargo,2017,THA,55,Box/Carton,Dianthus (mini),CA San Francisco
830,Air Cargo,2017,THA,53,Box/Carton,Rosa,CA San Francisco
831,Air Cargo,2017,THA,40,Box/Carton,"Bouquet, Rose",CA San Francisco
832,Air Cargo,2017,THA,75,Box/Carton,Aster,CA San Francisco
833,Air Cargo,2017,THA,105,Box/Carton,Cocculus,CA San Francisco
834,Air Cargo,2017,THA,23,Box/Carton,Limonium,CA San Francisco
835,Air Cargo,2018,THA,21,Box/Carton,Chrysanthemum (pom-pon),CA San Francisco
836,Air Cargo,2018,THA,78,Box/Carton,Gypsophila,CA San Francisco
837,Air Cargo,2018,THA,327,Box/Carton,Chrysanthemum (pom-pon),CA San Francisco
838,Air Cargo,2018,THA,65,Box/Carton,Dianthus,CA San Francisco
839,Air Cargo,2018,THA,8,Box/Carton,Gerbera,CA San Francisco
840,Air Cargo,2018,THA,201,Box/Carton,Matthiola,CA San Francisco
841,Air Cargo,2018,THA,200,Stems,Limonium,CA San Francisco
842,Air Cargo,2018,THA,9,Box/Carton,Hypericum,CA San Francisco
843,Air Cargo,2018,THA,37,Box/Carton,Aster,CA San Francisco
844,Air Cargo,2018,THA,8,Box/Carton,Gerbera,CA San Francisco
845,Air Cargo,2018,THA,28,Box/Carton,Solidago,CA San Francisco
846,Air Cargo,2018,THA,75,Box/Carton,Craspedia,CA San Francisco
847,Air Cargo,2018,THA,3390,Stems,Chrysanthemum (pom-pon),CA San Francisco
848,Air Cargo,2018,THA,56500,Stems,Dianthus,CA San Francisco
849,Air Cargo,2018,THA,155,Stems,Antirrhinum,CA San Francisco
850,Air Cargo,2018,THA,30,Box/Carton,Ranunculus,CA San Francisco
851,Air Cargo,2018,THA,141,Box/Carton,"Bouquet, Mixed",CA San Francisco
852,Air Cargo,2018,THA,4500,Stems,Limonium,CA San Francisco
853,Air Cargo,2018,THA,6400,Stems,Dianthus,CA San Francisco
854,Air Cargo,2018,THA,1575,Stems,Dianthus (mini),CA San Francisco
855,Air Cargo,2018,THA,175,Box/Carton,Rosa,CA San Francisco
856,Air Cargo,2018,THA,351,Box/Carton,Chrysanthemum (pom-pon),CA San Francisco
857,Air Cargo,2018,THA,77,Box/Carton,Anemone,CA San Francisco
858,Air Cargo,2018,THA,825,Stems,Aster,CA San Francisco
859,Air Cargo,2018,THA,13,Box/Carton,Astrantia,CA San Francisco
860,Air Cargo,2018,THA,396,Box/Carton,Delphinium,CA San Francisco
861,Air Cargo,2018,THA,9900,Stems,Eryngium,CA San Francisco
862,Air Cargo,2018,THA,1889,Box/Carton,Helianthus,CA San Francisco
863,Air Cargo,2018,THA,247,Box/Carton,Lepidium,CA San Francisco
864,Air Cargo,2018,THA,588,Box/Carton,Protea,CA San Francisco
865,Air Cargo,2018,THA,225,Box/Carton,Rosa,CA San Francisco
866,Air Cargo,2018,THA,1896,Box/Carton,Scabiosa,CA San Francisco
867,Air Cargo,2018,THA,5400,Stems,Senecio,CA San Francisco
868,Air Cargo,2018,THA,135,Box/Carton,Solidago,CA San Francisco
869,Air Cargo,2018,THA,960,Box/Carton,Gypsophila,CA San Francisco
870,Air Cargo,2018,THA,1246,Stems,Matthiola,CA San Francisco
871,Air Cargo,2018,THA,100,Box/Carton,Ruscus,CA San Francisco
872,Air Cargo,2018,THA,8,Box/Carton,Limonium,CA San Francisco
873,Air Cargo,2018,THA,12000,Stems,Eryngium,CA San Francisco
874,Air Cargo,2018,THA,87,Box/Carton,Delphinium,CA San Francisco
875,Air Cargo,2018,THA,160,Box/Carton,Senecio,CA San Francisco
876,Air Cargo,2018,THA,90,Box/Carton,Veronica,CA San Francisco
877,Air Cargo,2018,THA,251376,Stems,Anemone,CA San Francisco
878,Air Cargo,2018,THA,17190,Stems,Rosa,CA San Francisco
879,Air Cargo,2018,THA,320224,Stems,Trachelium,CA San Francisco
880,Air Cargo,2018,THA,6225,Stems,Rosa,CA San Francisco
881,Air Cargo,2018,THA,134080,Stems,Dianthus,CA San Francisco
882,Air Cargo,2018,THA,42600,Stems,Trachelium,CA San Francisco
883,Air Cargo,2018,THA,22528,Stems,"Bouquet, Rose",CA San Francisco
884,Air Cargo,2018,THA,656,Box/Carton,"Bouquet, Mixed",CA San Francisco
885,Air Cargo,2018,THA,249000,Stems,Hypericum,CA San Francisco
886,Air Cargo,2018,THA,1500,Stems,Phlox,CA San Francisco
887,Air Cargo,2018,THA,9600,Stems,Ammi,CA San Francisco
888,Air Cargo,2018,THA,61264,Stems,Veronica,CA San Francisco
889,Air Cargo,2018,THA,42528,Stems,Matthiola,CA San Francisco
890,Air Cargo,2018,THA,120,Box/Carton,Rosa,CA San Francisco
891,Air Cargo,2018,THA,27000,Stems,Gerbera,CA San Francisco
892,Air Cargo,2018,THA,7200,Stems,Lisianthus,CA San Francisco
893,Air Cargo,2018,THA,321488,Stems,Rosa,CA San Francisco
894,Air Cargo,2018,THA,6975,Stems,Symphoricarpos,CA San Francisco
895,Air Cargo,2018,THA,435,Box/Carton,Helleborus,CA San Francisco
896,Air Cargo,2018,THA,223,Box/Carton,Dianthus,CA San Francisco
897,Air Cargo,2018,THA,278400,Stems,Gypsophila,CA San Francisco
898,Air Cargo,2018,THA,600,Stems,"Bouquet, Mixed",CA San Francisco
899,Air Cargo,2018,THA,187,Box/Carton,Brassica,CA San Francisco
900,Air Cargo,2018,THA,4500,Stems,Dianthus,CA San Francisco
901,Air Cargo,2018,THA,24000,Stems,Gypsophila,CA San Francisco
902,Air Cargo,2018,THA,20000,Stems,Dianthus (mini),CA San Francisco
903,Air Cargo,2018,THA,155520,Stems,Ruscus,CA San Francisco
904,Air Cargo,2013,COL,182,Box/Carton,Astrantia,GA Atlanta
905,Air Cargo,2013,CRI,17,Box/Carton,Rosa,GA Atlanta
906,Air Cargo,2013,CRI,10,Box/Carton,Moluccella,GA Atlanta
907,Air Cargo,2013,CRI,63,Box/Carton,Rosa,GA Atlanta
908,Air Cargo,2013,ECU,8,Box/Carton,Ornithogalum,GA Atlanta
909,Air Cargo,2013,GTM,10,Box/Carton,Dianthus,GA Atlanta
910,Air Cargo,2014,IRE,25,Box/Carton,Phoenix,GA Atlanta
911,Air Cargo,2014,MEX,25,Box/Carton,Delphinium,GA Atlanta
912,Air Cargo,2015,MYS,30,Box/Carton,Phoenix,GA Atlanta
913,Air Cargo,2015,MYS,20,Box/Carton,Chrysanthemum (pom-pon),GA Atlanta
914,Air Cargo,2015,MYS,43,Box/Carton,Hydrangea,GA Atlanta
915,Air Cargo,2015,NLD,9,Box/Carton,Hypericum,GA Atlanta
916,Air Cargo,2015,NLD,2600,Stems,Solidago,GA Atlanta
917,Air Cargo,2015,NLD,10,Box/Carton,Lilium,GA Atlanta
918,Air Cargo,2015,NLD,560,Stems,Rosa,GA Atlanta
919,Air Cargo,2015,NLD,405,Stems,Gypsophila,GA Atlanta
920,Air Cargo,2015,NLD,434,Stems,Gypsophila,GA Atlanta
921,Air Cargo,2015,NLD,14700,Stems,Rosa,GA Atlanta
922,Air Cargo,2016,NLD,100,Box/Carton,Dianthus (mini),GA Atlanta
923,Air Cargo,2016,NLD,14800,Box/Carton,Zantedeschia,GA Atlanta
924,Air Cargo,2016,NLD,8124,Box/Carton,Dianthus,GA Atlanta
925,Air Cargo,2016,NLD,26370,Stems,Pittosporum,GA Atlanta
926,Air Cargo,2016,NLD,93780,Stems,Chrysanthemum (pom-pon),GA Atlanta
927,Air Cargo,2016,NLD,10642,Stems,Rumohra,GA Atlanta
928,Air Cargo,2016,NLD,21364,Box/Carton,Leucospermum,GA Atlanta
929,Air Cargo,2016,NLD,595,Box/Carton,Eryngium,GA Atlanta
930,Air Cargo,2017,THA,61,Box/Carton,Amaranthus,GA Atlanta
931,Air Cargo,2016,NLD,236,Box/Carton,Eryngium,GA Atlanta
932,Air Cargo,2016,NLD,14,Box/Carton,Gypsophila,GA Atlanta
933,Air Cargo,2016,NLD,85,Box/Carton,Astrantia,GA Atlanta
934,Air Cargo,2016,NLD,8,Box/Carton,"Bouquet, Mixed",GA Atlanta
935,Air Cargo,2016,NLD,15,Box/Carton,Eryngium,GA Atlanta
936,Air Cargo,2016,NLD,12,Box/Carton,Rosa,GA Atlanta
937,Air Cargo,2016,NLD,1490,Box/Carton,Lilium,GA Atlanta
938,Air Cargo,2016,NLD,18,Box/Carton,Phoenix,GA Atlanta
939,Air Cargo,2016,NLD,173,Box/Carton,Bouvardia,GA Atlanta
940,Air Cargo,2016,NLD,192,Box/Carton,Anigozanthos,GA Atlanta
941,Air Cargo,2016,NZL,27,Box/Carton,Chrysanthemum,GA Atlanta
942,Air Cargo,2016,NZL,1400,Box/Carton,Delphinium,GA Atlanta
943,Air Cargo,2016,NZL,7804,Stems,Lepidium,GA Atlanta
944,Air Cargo,2016,NZL,50,Stems,Protea,GA Atlanta
945,Air Cargo,2016,NZL,92,Box/Carton,Lilium,GA Atlanta
946,Air Cargo,2017,THA,15,Box/Carton,Senecio,GA Atlanta
947,Air Cargo,2017,THA,9,Box/Carton,Trachelium,GA Atlanta
948,Air Cargo,2017,THA,75,Stems,Hypericum,GA Atlanta
949,Air Cargo,2017,THA,18000,Stems,Zantedeschia,GA Atlanta
950,Air Cargo,2017,THA,21,Box/Carton,Tulipa,GA Atlanta
951,Air Cargo,2017,THA,39,Box/Carton,Iris,GA Atlanta
952,Air Cargo,2017,THA,13,Box/Carton,Tulipa,GA Atlanta
953,Air Cargo,2017,THA,2484,Box/Carton,Hydrangea,GA Atlanta
954,Air Cargo,2017,THA,153,Box/Carton,Antirrhinum,GA Atlanta
955,Air Cargo,2017,THA,181,Box/Carton,Zantedeschia,GA Atlanta
956,Air Cargo,2017,THA,15,Box/Carton,Solidago,GA Atlanta
957,Air Cargo,2017,THA,72,Box/Carton,Ruscus,GA Atlanta
958,Air Cargo,2017,THA,56,Box/Carton,Chrysanthemum,GA Atlanta
959,Air Cargo,2018,THA,206,Box/Carton,Zantedeschia,GA Atlanta
960,Air Cargo,2018,THA,20,Box/Carton,Helianthus,GA Atlanta
961,Air Cargo,2018,THA,23,Box/Carton,Gypsophila,GA Atlanta
962,Air Cargo,2018,THA,36,Box/Carton,Dianthus,GA Atlanta
963,Air Cargo,2011,AUS,30,Box/Carton,Chrysanthemum,HI Honolulu
964,Air Cargo,2011,AUS,100,Stems,Gerbera,HI Honolulu
965,Air Cargo,2011,AUS,25,Stems,Limonium,HI Honolulu
966,Air Cargo,2011,AUS,20,Stems,Dianthus (mini),HI Honolulu
967,Air Cargo,2011,CAN,23,Box/Carton,Limonium,HI Honolulu
968,Air Cargo,2011,CAN,14,Box/Carton,Matthiola,HI Honolulu
969,Air Cargo,2011,CAN,10,Box/Carton,Dianthus (mini),HI Honolulu
970,Air Cargo,2011,CAN,12,Box/Carton,Rosa,HI Honolulu
971,Air Cargo,2011,CAN,14,Box/Carton,Aster,HI Honolulu
972,Air Cargo,2011,CAN,14,Box/Carton,"Bouquet, Mixed",HI Honolulu
973,Air Cargo,2011,CAN,12,Box/Carton,Lilium,HI Honolulu
974,Air Cargo,2011,CAN,10,Box/Carton,Limonium,HI Honolulu
975,Air Cargo,2011,CAN,10,Box/Carton,Dianthus (mini),HI Honolulu
976,Air Cargo,2011,CAN,20,Stems,"Bouquet, Mixed",HI Honolulu
977,Air Cargo,2011,CAN,20,Stems,Pittosporum,HI Honolulu
978,Air Cargo,2011,CAN,40,Stems,Chrysanthemum (pom-pon),HI Honolulu
979,Air Cargo,2011,CAN,20,Stems,Ranunculus,HI Honolulu
980,Air Cargo,2011,CAN,100,Stems,Zantedeschia,HI Honolulu
981,Air Cargo,2011,CAN,100,Stems,Alstroemeria,HI Honolulu
982,Air Cargo,2011,CAN,200,Stems,Aralia,HI Honolulu
983,Air Cargo,2011,CAN,1800,Stems,Aster,HI Honolulu
984,Air Cargo,2011,CAN,18,Box/Carton,"Bouquet, Mixed",HI Honolulu
985,Air Cargo,2011,CAN,20,Box/Carton,Campanula,HI Honolulu
986,Air Cargo,2011,CAN,1400,Stems,Lilium,HI Honolulu
987,Air Cargo,2011,CAN,1850,Stems,Limonium,HI Honolulu
988,Air Cargo,2011,CAN,5560,Stems,Aster,HI Honolulu
989,Air Cargo,2011,CAN,225,Stems,Pittosporum,HI Honolulu
990,Air Cargo,2011,CAN,8790,Stems,Chrysanthemum (pom-pon),HI Honolulu
991,Air Cargo,2011,CAN,15320,Stems,Ruscus,HI Honolulu
992,Air Cargo,2011,CAN,740,Box/Carton,Chrysanthemum (pom-pon),HI Honolulu
993,Air Cargo,2011,CAN,2500,Stems,Rosa,HI Honolulu
994,Air Cargo,2011,CAN,82,Box/Carton,Rosa,HI Honolulu
995,Air Cargo,2011,CAN,30,Stems,Achillea,HI Honolulu
996,Air Cargo,2011,CAN,1464,Stems,Agapanthus,HI Honolulu
997,Air Cargo,2011,CAN,132,Stems,Amaranthus,HI Honolulu
998,Air Cargo,2011,CAN,20,Stems,Ammi,HI Honolulu
999,Air Cargo,2011,CAN,2530,Stems,Anemone,HI Honolulu
1000,Air Cargo,2011,CAN,35,Stems,Aster,HI Honolulu
1001,Air Cargo,2011,CAN,28,Box/Carton,Lilium,HI Honolulu
1002,Air Cargo,2011,CAN,8,Box/Carton,Limonium,HI Honolulu
1003,Air Cargo,2011,CAN,11,Box/Carton,Lisianthus,HI Honolulu
1004,Air Cargo,2011,CAN,9,Box/Carton,Lysimachia,HI Honolulu
1005,Air Cargo,2011,CAN,24,Box/Carton,Lisianthus,HI Honolulu
1006,Air Cargo,2011,CAN,57,Box/Carton,Gypsophila,HI Honolulu
1007,Air Cargo,2011,CAN,100,Stems,Helianthus,HI Honolulu
1008,Air Cargo,2011,CAN,19920,Stems,Aster,HI Honolulu
1009,Air Cargo,2011,CAN,142,Box/Carton,Bupleurum,HI Honolulu
1010,Air Cargo,2011,CAN,65,Stems,Campanula,HI Honolulu
1011,Air Cargo,2011,CAN,158,Box/Carton,Delphinium,HI Honolulu
1012,Air Cargo,2011,CAN,211,Box/Carton,Eryngium,HI Honolulu
1013,Air Cargo,2011,CAN,92,Box/Carton,Eryngium,HI Honolulu
1014,Air Cargo,2011,CAN,422,Box/Carton,Limonium,HI Honolulu
1015,Air Cargo,2011,CAN,13,Box/Carton,Rosa,HI Honolulu
1016,Air Cargo,2011,CAN,9,Box/Carton,"Bouquet, Rose",HI Honolulu
1017,Air Cargo,2011,CAN,15,Box/Carton,Matthiola,HI Honolulu
1018,Air Cargo,2011,CAN,11,Box/Carton,Gypsophila,HI Honolulu
1019,Air Cargo,2011,CAN,79,Box/Carton,"Bouquet, Mixed",HI Honolulu
1020,Air Cargo,2011,CAN,9,Box/Carton,Alpinia,HI Honolulu
1021,Air Cargo,2011,CAN,174,Box/Carton,Ammi,HI Honolulu
1022,Air Cargo,2011,CAN,700,Box/Carton,Chrysanthemum (pom-pon),HI Honolulu
1023,Air Cargo,2011,CAN,4000,Stems,Eryngium,HI Honolulu
1024,Air Cargo,2011,CAN,120,Box/Carton,"Bouquet, Rose",HI Honolulu
1025,Air Cargo,2011,CAN,12,Box/Carton,Matthiola,HI Honolulu
1026,Air Cargo,2011,CAN,100,Stems,Godetia,HI Honolulu
1027,Air Cargo,2011,CAN,1008,Box/Carton,Alstroemeria,HI Honolulu
1028,Air Cargo,2011,CAN,64,Box/Carton,Chrysanthemum (pom-pon),HI Honolulu
1029,Air Cargo,2011,CAN,99,Box/Carton,Rosa,HI Honolulu
1030,Air Cargo,2011,CAN,28,Box/Carton,Antirrhinum,HI Honolulu
1031,Air Cargo,2011,CAN,40,Box/Carton,Matthiola,HI Honolulu
1032,Air Cargo,2011,CAN,15,Stems,"Bouquet, Mixed",HI Honolulu
1033,Air Cargo,2011,CAN,20,Box/Carton,Solidago,HI Honolulu
1034,Air Cargo,2012,CAN,2400,Stems,Rumohra,HI Honolulu
1035,Air Cargo,2012,CAN,2160,Stems,Pittosporum,HI Honolulu
1036,Air Cargo,2012,CAN,2160,Stems,Rosa,HI Honolulu
1037,Air Cargo,2012,CAN,410,Stems,"Bouquet, Rose",HI Honolulu
1038,Air Cargo,2012,CAN,129,Box/Carton,Aster,HI Honolulu
1039,Air Cargo,2012,CAN,470,Stems,Bupleurum,HI Honolulu
1040,Air Cargo,2012,CAN,300,Stems,Campanula,HI Honolulu
1041,Air Cargo,2012,CAN,32,Box/Carton,Anthurium,HI Honolulu
1042,Air Cargo,2012,CAN,11,Box/Carton,Clematis,HI Honolulu
1043,Air Cargo,2012,CAN,120,Box/Carton,Cymbidium,HI Honolulu
1044,Air Cargo,2012,CAN,9,Box/Carton,Delphinium,HI Honolulu
1045,Air Cargo,2012,CAN,97,Box/Carton,Helleborus,HI Honolulu
1046,Air Cargo,2012,CAN,10,Box/Carton,Helichrysum,HI Honolulu
1047,Air Cargo,2012,CAN,90,Box/Carton,Hyacinthus,HI Honolulu
1048,Air Cargo,2012,CAN,30,Box/Carton,Ornithogalum,HI Honolulu
1049,Air Cargo,2012,CAN,9,Box/Carton,Tulipa,HI Honolulu
1050,Air Cargo,2012,CAN,25,Box/Carton,Vanda,HI Honolulu
1051,Air Cargo,2012,CAN,8,Box/Carton,Veronica,HI Honolulu
1052,Air Cargo,2012,CAN,8,Box/Carton,"Bouquet, Rose",HI Honolulu
1053,Air Cargo,2012,CAN,25,Box/Carton,Rosa,HI Honolulu
1054,Air Cargo,2012,CAN,32,Box/Carton,"Bouquet, Rose",HI Honolulu
1055,Air Cargo,2012,CAN,14,Box/Carton,"Bouquet, Rose",HI Honolulu
1056,Air Cargo,2012,CAN,12,Box/Carton,Rosa,HI Honolulu
1057,Air Cargo,2012,CAN,48,Box/Carton,Rosa,HI Honolulu
1058,Air Cargo,2012,CAN,35,Box/Carton,"Bouquet, Mixed",HI Honolulu
1059,Air Cargo,2012,CAN,13,Box/Carton,Antirrhinum,HI Honolulu
1060,Air Cargo,2012,CAN,9,Box/Carton,Solidago,HI Honolulu
1061,Air Cargo,2012,CAN,31,Box/Carton,Eucalyptus,HI Honolulu
1062,Air Cargo,2012,CAN,23,Box/Carton,Chrysanthemum (pom-pon),HI Honolulu
1063,Air Cargo,2012,CAN,147,Box/Carton,Ruscus,HI Honolulu
1064,Air Cargo,2012,CAN,724,Box/Carton,"Bouquet, Mixed",HI Honolulu
1065,Air Cargo,2012,CAN,26,Box/Carton,Dianthus,HI Honolulu
1066,Air Cargo,2012,CAN,3750,Stems,Gypsophila,HI Honolulu
1067,Air Cargo,2012,CAN,50,Stems,Brassica,HI Honolulu
1068,Air Cargo,2012,CAN,1110,Stems,Leucadendron,HI Honolulu
1069,Air Cargo,2012,CAN,155,Stems,Lilium,HI Honolulu
1070,Air Cargo,2012,CAN,20,Box/Carton,Chrysanthemum (pom-pon),HI Honolulu
1071,Air Cargo,2012,CAN,19,Box/Carton,Rosa,HI Honolulu
1072,Air Cargo,2012,CAN,13,Box/Carton,Dianthus,HI Honolulu
1073,Air Cargo,2012,CAN,25,Stems,Chrysanthemum,HI Honolulu
1074,Air Cargo,2012,CAN,200,Stems,Chrysanthemum (pom-pon),HI Honolulu
1075,Air Cargo,2012,CAN,12,Box/Carton,Achillea,HI Honolulu
1076,Air Cargo,2012,CAN,9,Box/Carton,Lisianthus,HI Honolulu
1077,Air Cargo,2012,CAN,10,Box/Carton,Lysimachia,HI Honolulu
1078,Air Cargo,2012,CAN,12,Box/Carton,Matthiola,HI Honolulu
